Legislation,Offence
ADOPTION ACT 1976 SECTION 36(1)(B)/(C),Failure to give notice of change of address or death of a protected child / refusing to allow a visit to the protected child under the power in 33(2)
ADOPTION (SCOTLAND) ACT 1978 SECTION 36(1)(B)/(C) ,Failure to give notice of change of address or death of a protected child / refusing to allow a visit to the protected child under the power in 33(2)
ADOPTION (INTERCOUNTRY ASPECTS) ACT (NORTHERN IRELAND) 2001 ARTICLE 1(3) ,"Contravention of regulations made to give effect to the Convention on Protection of Children and Co-operation in respect of Intercountry Adoption, concluded at the Hague on 29th May 1993 "
ADOPTION (NORTHERN IRELAND) ORDER 1987 ART 6,"Refuses or wilfully neglects to attend in obedience to a summons issued by an Appeals Tribunal or to give evidence, or who wilfully alters, suppresses, cancels, destroys or refuses to produce any document or article which he may be required to produce under the summons "
ADOPTION (NORTHERN IRELAND) ORDER 1987 ART 7,"Failing to comply with a notice requiring production of such books, accounts and other documents "
ADOPTION (NORTHERN IRELAND) ORDER 1987 ART 10(2),Contravention of regulations made under this Article for adoption agencies
ADOPTION (NORTHERN IRELAND) ORDER 1987 ART 11,Made arrangements for the adoption of a child when not an adoption agency
ADOPTION (NORTHERN IRELAND) ORDER 1987 ART 28,Removal of children who are or may be placed by adoption agencies
ADOPTION (NORTHERN IRELAND) ORDER 1987 ART 29,Unlawfully removing a child where applicant has provided home for 5 years
ADOPTION (NORTHERN IRELAND) ORDER 1987 ART 31,Contravene provisions for the return of children placed for adoption
ADOPTION (NORTHERN IRELAND) ORDER 1987 ART 37(1)(B),Refusing to allow visiting of protected child
ADOPTION (NORTHERN IRELAND) ORDER 1987 ART 37(1)(C),Non-compliance/obstruction in respect of an order for removal of child
ADOPTION (NORTHERN IRELAND) ORDER 1987 ART 58,Unlawfully removing children for adoption outside of Northern Ireland
ADOPTION (NORTHERN IRELAND) ORDER 1987 ART 58ZA,Unlawfully bringing children into the UK for adoption
ADOPTION (NORTHERN IRELAND) ORDER 1987 ART 59,Prohibited payment/reward in connection with adoption of a child
AIR NAVIGATION ORDER 2009 ARTICLE.137,Recklessly or negligently act in a manner likely to endanger an aircraft or a person in the aircraft
AIR NAVIGATION ORDER 2009 ARTICLE.138,Recklessly or negligently cause or permit an aircraft to endanger any person or property 
AIR FORCE ACT 1955 SEC 70,Civil offences
ANTI-TERRORISM CRIME AND SECURITY ACT 2001 S.113(1),Use noxious substance/thing likely to cause serious violence against a person anywhere in the world
ANTI-TERRORISM CRIME AND SECURITY ACT 2001 (AT01) S.113(1),Use noxious substance/thing likely to have the effect of causing serious damage anywhere in the world
ANTI-TERRORISM CRIME AND SECURITY ACT 2001 (AT01) S.113(1),Use noxious substance/thing likely to endanger human life or create serious risk to health or safety
ANTI-TERRORISM CRIME AND SECURITY ACT 2001 (AT01) S.113(1),Use noxious thing/substance likely to induce in public fear that action would endanger lives/health/safety
ANTI-TERRORISM CRIME AND SECURITY ACT 2001 (AT01) S.47(1)(A),Knowingly cause a nuclear explosion
ANTI-TERRORISM CRIME AND SECURITY ACT 2001 (AT01) S.47(1)(B),Develop produce participate in development production of nuclear weapons
ANTI-TERRORISM CRIME AND SECURITY ACT 2001 (AT01) S.47(1)(C),Possess a nuclear weapon
ANTI-TERRORISM CRIME AND SECURITY ACT 2001 (AT01) S.47(1)(D),Participate in the transfer of a nuclear weapon
ANTI-TERRORISM CRIME AND SECURITY ACT 2001 (AT01) S.47(1)(E),Engage in military preparations intending to use or threaten to use a nuclear weapon
ANTI-TERRORISM CRIME AND SECURITY ACT 2001 (AT01) S.50,Incite a person who is not a UK person to do a relevant act outside the UK
"ANTI-TERRORISM CRIME AND SECURITY ACT 2001 (AT01) SS.52,54",Obstructing search/ false information
ANTI-TERRORISM CRIME AND SECURITY ACT 2001 (AT01) S.67,Occupier failing to comply with notice re dangerous pathogens and toxins
ANTI-TERRORISM CRIME AND SECURITY ACT 2001 (AT01) S.79,Disclosing information prejudicing security of nuclear site or material
ANTI-TERRORISM CRIME AND SECURITY ACT 2001 (AT01) S.80,Breach of prohibition of disclosures of uranium enrichment technology
ANTI-TERRORISM CRIME AND SECURITY ACT 2001 (AT01) S.114,"Hoax placing, sending of noxious substances or things"
ARMED FORCES ACT 2006 SEC 42,Criminal conduct
ARMY ACT 1955 SEC 70,Civil offences
ASYLUM AND IMMIGRATION (TREATMENT OF CLAIMANTS) ACT 2004 (AI04) S.4(1),Trafficking persons into UK for purpose of exploitation
ASYLUM AND IMMIGRATION (TREATMENT OF CLAIMANTS) ACT 2004 (AI04) S.4(2),Trafficking persons within the UK for the purpose of exploitation
ASYLUM AND IMMIGRATION (TREATMENT OF CLAIMANTS) ACT 2004 (AI04) S.4(3),Trafficking persons out of the UK for the purpose of exploitation
"ASYLUM AND IMMIGRATION (TREATMENT OF CLAIMANTS,ETC) ACT 2004 S4(3A) ",Trafficking persons in a country outside the UK for the purpose of exploitation
AVIATION AND MARITIME SECURITY ACT 1990 (AV90) S.1(1),"Committing act of violence at civil aviation aerodrome, causing death"
AVIATION AND MARITIME SECURITY ACT 1990 (AV90) S.1(1),"Committing act of violence at civil aviation aerodrome, causing serious personal injury"
AVIATION AND MARITIME SECURITY ACT 1990 (AV90) S.1(1),Committing act of violence at civil aviation aerodrome likely to cause death or serious personal injury
AVIATION AND MARITIME SECURITY ACT 1990 (AV90) S.1(2),Destroy/seriously damage property/aircraft not in service endangering safe operation or safety of persons
AVIATION AND MARITIME SECURITY ACT 1990 (AV90) S.1(2),Disrupting services endangering of civil aerodrome endangering safe operation of safety of persons
AVIATION AND MARITIME SECURITY ACT 1990 (AV90) S.10(1),Seizing or exercising control of sea platform by use of force or threats
AVIATION AND MARITIME SECURITY ACT 1990 (AV90) S.11(1)(A),Destroying fixed platform
AVIATION AND MARITIME SECURITY ACT 1990 (AV90) S.11(1)(B),Damaging fixed platform in a manner endangering or likely to endanger its safety
AVIATION AND MARITIME SECURITY ACT 1990 (AV90) S.12(1)(A),Destroy property used for navigation likely to endanger navigation
AVIATION AND MARITIME SECURITY ACT 1990 (AV90) S.12(1)(A),Damage property used for navigation likely to endanger navigation
AVIATION AND MARITIME SECURITY ACT 1990 (AV90) S.12(1)(B),Interference with property used for navigation likely to endanger safe navigation
AVIATION AND MARITIME SECURITY ACT 1990 (AV90) S.12(3),Communicating false information which endangers navigation
AVIATION AND MARITIME SECURITY ACT 1990 (AV90) S.13(1),Compulsion by threatening to destroy or damage a ship or sea platform
AVIATION AND MARITIME SECURITY ACT 1990 (AV90) S.13(2),Compulsion by threatening to destroy or damage property used for navigation
AVIATION AND MARITIME SECURITY ACT 1990 (AV90) S.9(1),Seizing or exercising control of ship by use of force or threats
AVIATION SECURITY ACT 1982 (AV82) S.1,Hijacking
AVIATION SECURITY ACT 1982 (AV82) S.2(1)(A),Destroying aircraft
AVIATION SECURITY ACT 1982 (AV82) S.2(1)(A),Damaging aircraft
AVIATION SECURITY ACT 1982 (AV82) S.2(1)(B),Endangering aircraft
AVIATION SECURITY ACT 1982 (AV82) S.2(2),Placing device to destroy aircraft
AVIATION SECURITY ACT 1982 (AV82) S.2(2),Placing device to damage aircraft
AVIATION SECURITY ACT 1982 (AV82) S.2(2),Placing device to endanger aircraft
AVIATION SECURITY ACT 1982 (AV82) S.2(2)+S.6(2),Place a device/substance to destroy an aircraft
AVIATION SECURITY ACT 1982 (AV82) S.3(1),Destroying air navigation facilities
AVIATION SECURITY ACT 1982 (AV82) S.3(1),Damaging air navigation facilities
AVIATION SECURITY ACT 1982 (AV82) S.3(1),Interfering with operation of air navigation facilities
AVIATION SECURITY ACT 1982 (AV82) S.3(1)+S.7(2),Destroy/damage/interfere with air navigation facilities
AVIATION SECURITY ACT 1982 (AV82) S.3(3),Endangering aircraft by false information
AVIATION SECURITY ACT 1982 (AV82) S.4,Possessing dangerous articles on aircraft
AVIATION SECURITY ACT 1982 (AV82) S.4,Possessing dangerous articles on aerodrome
AVIATION SECURITY ACT 1982 (AV82) S.4,Possessing dangerous articles on air navigation installation
BIOLOGICAL WEAPONS ACT 1974 S1,"Producing biological weapons, transferring biological agent or toxin"
CLUSTER MUNITIONS (PROHIBITIONS) ACT 2010 S2,Using possessing etc. Cluster munition or explosive aircraft bomblet
CHANNEL TUNNEL (SECURITY) ORDER 1994 (CT94) PT.II ART.4,Seizing a channel tunnel train
CHANNEL TUNNEL (SECURITY) ORDER 1994 (CT94) PT.II ART.4,Unlawfully exercise control over channel tunnel train
CHANNEL TUNNEL (SECURITY) ORDER 1994 (CT94) PT.II ART.5,Seizing tunnel system
CHANNEL TUNNEL (SECURITY) ORDER 1994 (CT94) PT.II ART.5,Unlawfully exercise control over tunnel system
CHANNEL TUNNEL (SECURITY) ORDER 1994 (CT94) PT.II ART.6(1)(A),Destroy channel tunnel train or tunnel system so as to endanger or be likely to endanger safety
CHANNEL TUNNEL (SECURITY) ORDER 1994 (CT94) PT.II ART.6(1)(A),Destroy goods on channel tunnel train or tunnel system so as to endanger or be likely to endanger safety
CHANNEL TUNNEL (SECURITY) ORDER 1994 (CT94) PT.II ART.6(1)(B),Damage channel tunnel train so as to endanger or be likely to endanger safety
CHANNEL TUNNEL (SECURITY) ORDER 1994 (CT94) PT.II ART.6(1)(B),Damage goods on channel tunnel train so as to endanger or be likely to endanger safety
CHANNEL TUNNEL (SECURITY) ORDER 1994 (CT94) PT.II ART.6(1)(B),Damage tunnel system so as to endanger or be likely to endanger safety
CHANNEL TUNNEL (SECURITY) ORDER 1994 (CT94) PT.II ART.6(1)(B),Damage goods within tunnel system so as to endanger or be likely to endanger safety
CHANNEL TUNNEL (SECURITY) ORDER 1994 (CT94) PT.II ART.6(1)(C),Committing act of violence on board channel tunnel train likely to endanger safety
CHANNEL TUNNEL (SECURITY) ORDER 1994 (CT94) PT.II ART.6(1)(C),Committing act of violence within tunnel system likely to endanger safety
CHANNEL TUNNEL (SECURITY) ORDER 1994 (CT94) PT.II ART.6(2)(A),Place on channel train device/substance to destroy train or damage goods so as to endanger safety
CHANNEL TUNNEL (SECURITY) ORDER 1994 (CT94) PT.II ART.6(2)(A),Cause to be placed on channel tunnel train device/substance to destroy/damage goods or endanger safety
CHANNEL TUNNEL (SECURITY) ORDER 1994 (CT94) PT.II ART.6(2)(B),Place in tunnel system device/substance to destroy train or damage goods so as to endanger safety
CHANNEL TUNNEL (SECURITY) ORDER 1994 (CT94) PT.II ART.6(2)(B),Cause to be placed in tunnel system device/substance likely to destroy train/damage goods to endanger safety
CHANNEL TUNNEL (SECURITY) ORDER 1994 (CT94) PT.II ART.7(1)(A),Destroy or damage property so as to endanger safety
CHANNEL TUNNEL (SECURITY) ORDER 1994 (CT94) PT.II ART.7(1)(B),Interfere with operation of property so as to be likely to endanger safety
CHANNEL TUNNEL (SECURITY) ORDER 1994 (CT94) PT.II ART.7(3),Knowingly communicate false information thereby endangering safety
CHANNEL TUNNEL (SECURITY) ORDER 1994 (CT94) PT.II ART.8(1),Threaten to damage/destroy a channel tunnel train/system making such threat likely to endanger safety
CHANNEL TUNNEL (SECURITY) ORDER 1994 (CT94) PT.II ART.8(2),Threaten to damage/destroy property to endanger channel tunnel train/system likely to endanger safety
CHEMICAL WEAPONS ACT 1996 S.2,"Using, possessing etc. a chemical weapon"
CHEMICAL WEAPONS ACT 1996 S.11,Using premises or equipment for producing chemical weapons
CHILD ABDUCTION ACT 1984 S.1,Take or send a child under the age of 16 out of the UK without the appropriate consent
CHILD ABDUCTION ACT 1984 S.2,"Take or detain a child under the age of 16, without lawful authority or reasonable excuse"
"CHILD ABDUCTION ACT 1984, S6",Taking or sending child out of UK
CHILD ABDUCTION (NORTHERN IRELAND) ORDER 1985 ARTICLE 3(1),Sending a child out of the united kingdom without the appropriate consent
CHILD ABDUCTION (NORTHERN IRELAND) ORDER 1985 ARTICLE 3(1),Taking a child out of the united kingdom without the appropriate consent
CHILD ABDUCTION (NORTHERN IRELAND) ORDER 1985 ARTICLE 3(1),Taking a child without lawful authority so as to remove him/her from lawful control
CHILD ABDUCTION (NORTHERN IRELAND) ORDER 1985 ARTICLE 4(1)(A),Detaining a child without lawful authority so as to remove him/her from lawful control
CHILD ABDUCTION (NORTHERN IRELAND) ORDER 1985 ARTICLE 4(1)(A),Taking a child without lawful authority so as to keep him/her from lawful control
CHILD ABDUCTION (NORTHERN IRELAND) ORDER 1985 ARTICLE 4(1)(B),Detaining a child without lawful authority so as to keep him/her from lawful control
CHILDREN ACT 1948 S. 29(5),Carrying on a voluntary home without it being registered or in contravention of a condition attached to registration
"CHILDREN ACT 1958, S14",Offences relating to private fostering
"CHILDREN ACT 1989, S44(15)",Obstruction power in paragraph 4(b) to either remove a child under an emergency protection order or to prevent their removal from hospital
"CHILDREN ACT 1989, S49",Abduction of children in care etc
"CHILDREN ACT 1989, S50(9)",Obstructing an authorised person exercising power to remove a child
"CHILDREN ACT 1989, S63(10)",Offences relating to voluntary homes and children's homes
"CHILDREN ACT 1989, S70",Offences relating to private fostering
"CHILDREN ACT 1989, S78",Offences relating to childminding and daycare for young children
"CHILDREN ACT 1989, SCHEDULE 5, PARA 1(5)",Offences relating to voluntary homes and children's homes
"CHILDREN ACT 1989, SCHEDULE 6, PARA 2(3)",Offences relating to voluntary homes and children's homes
CHILD CARE ACT 1980 S.57(5),Any person who carries on a voluntary home in contravention of the provisions of subsection (1) (i.e. Registered)
CHILDREN (PRIVATE ARRANGEMENTS FOR FOSTERING) REGULATIONS (NI) 1996,Fail to notify appropriate authority of a private fostering arrangement
CHILDREN AND YOUNG PERSONS ACT 1933 S1,Cruelty to persons under 16 - person aged 16 and over with custody/charge/ care of child/young person under 16 wilfully assaults/ill-treats/neglects/ abandons the child /young person causing unnecessary suffering or injury to health 
CHILDREN AND YOUNG PERSONS (SCOTLAND) ACT 1937,Cruelty to persons under 16 - person aged 16 and over with custody/charge/ care of child/young person under 16 wilfully (causes/procures to be) assaults/ill-treats/neglects/ abandons the child /young person causing unnecessary suffering or injury to health 
"CHILDREN AND YOUNG PERSONS (SCOTLAND) ACT 1937, S1","Assault, ill-treat or abandon a child"
"CHILDREN AND YOUNG PERSONS (SCOTLAND) ACT 1937, S12",Cruelty to persons under 16
"CHILDREN AND YOUNG PERSONS (SCOTLAND) ACT 1937, S13",Child procuration
"CHILDREN AND YOUNG PERSONS (SCOTLAND) ACT 1937, S14",Allowing a child to reside in a brothel
"CHILDREN AND YOUNG PERSONS (SCOTLAND) ACT 1937, S15",Causing or allowing persons under 16 to be used for begging
"CHILDREN AND YOUNG PERSONS (SCOTLAND) ACT 1937, S22",Exposing children under 7 to risk of burning
"CHILDREN AND YOUNG PERSONS (SCOTLAND) ACT 1937, S3 ",Permitting a child to reside in or frequent a brothel
"CHILDREN AND YOUNG PERSONS (SCOTLAND) ACT 1937, S32",Allowing person under 16 to take part in dangerous performance
"CHILDREN AND YOUNG PERSONS (SCOTLAND) ACT 1937, S33","Causing, procuring or allowing a child to take part in performances of a dangerous nature"
"CHILDREN AND YOUNG PERSONS (SCOTLAND) ACT 1937, S34",Training a person under 12 for a dangerous performance
"CHILDREN AND YOUNG PERSONS (SCOTLAND) ACT 1937, S71",Harbouring or concealing a missing child
CHILDREN AND YOUNG PERSONS ACT (NORTHERN IRELAND) 1950 S.2(8),Undertaking nursing and maintenance of a child without giving 7 days notice to welfare authority and obtaining written sanction of that authority in respect of the child
CHILDREN AND YOUNG PERSONS ACT (NORTHERN IRELAND) 1950 S.11(1),Cruelty to persons under 16 - person aged 16 and over with custody/charge/ care of child/young person under 16 wilfully assaults/ill-treats/neglects/ abandons the child /young person causing unnecessary suffering or injury to health 
CHILDREN AND YOUNG PERSONS ACT (NORTHERN IRELAND) 1950 S.11(1),Person exposes a child or young person to the acts set out  above
CHILDREN AND YOUNG PERSONS ACT (NORTHERN IRELAND) 1950 S.11(1),Person causes a child or young person  to suffer the acts set out  above
CHILDREN AND YOUNG PERSONS ACT (NORTHERN IRELAND) 1950 S.11(1),Person procures a child or young person to suffer the acts set out  above
CHILDREN AND YOUNG PERSONS ACT (NORTHERN IRELAND) 1950 S.12(1)   ALTERNATIVE OFFENCE TO SECTIONS 3 AND 6 OF THE CRIMINAL LAW AMENDMENT ACT 1885.,Seduction or prostitution of girl under 17. Person with custody/charge/care of girl causes/encourages her seduction
CHILDREN AND YOUNG PERSONS ACT (NORTHERN IRELAND) 1950 S.12(1),Seduction or prostitution of girl under 17. Person with custody/charge/care of girl causes/encourages unlawful carnal knowledge of her
